,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,site_name,lat,lon
83,2023-06-06 01:00:00+00:00,0.01825592,0.019638297872340428,0.017624933,0.018251315,0.019753233,0.021426847,0.023057502,0.025616404,0.027143886,Five Points,39.751184,-104.987625
84,2023-06-06 02:00:00+00:00,0.018465463,0.020340425531914896,0.017279005,0.016867058,0.017290365,0.018463224,0.019721145,0.020996144,0.022969887,Five Points,39.751184,-104.987625
85,2023-06-06 03:00:00+00:00,0.018550957,0.021042553191489365,0.016921869,0.016149655,0.015867107,0.016182145,0.017041594,0.018005395,0.01897396,Five Points,39.751184,-104.987625
86,2023-06-06 04:00:00+00:00,0.01881666,0.021744680851063833,0.01664619,0.015546411,0.01499748,0.014777079,0.015020084,0.01570443,0.01645901,Five Points,39.751184,-104.987625
87,2023-06-06 05:00:00+00:00,0.019334482,0.0224468085106383,0.016746743,0.01525298,0.014462769,0.01402946,0.013856026,0.014053734,0.014591304,Five Points,39.751184,-104.987625
88,2023-06-06 06:00:00+00:00,0.020266255,0.023148936170212766,0.01748029,0.015663454,0.014577438,0.013952032,0.013610003,0.013467533,0.013627819,Five Points,39.751184,-104.987625
89,2023-06-06 07:00:00+00:00,0.020374633,0.02385106382978723,0.017800132,0.015830912,0.014516985,0.013660054,0.013168777,0.012889344,0.012773145,Five Points,39.751184,-104.987625
90,2023-06-08 13:00:00+00:00,0.014261902,0.018,0.02105153,0.018913569,0.019066516,0.019475538,0.02008492,0.019125182,0.018334838,Five Points,39.751184,-104.987625
91,2023-06-08 14:00:00+00:00,0.025319746,0.026,0.022383194,0.026235268,0.02501413,0.025110856,0.025368022,0.02576699,0.025128754,Five Points,39.751184,-104.987625
92,2023-06-08 15:00:00+00:00,0.033817966,0.042,0.03322683,0.031469062,0.03364406,0.0328676,0.032928377,0.0330961,0.03335653,Five Points,39.751184,-104.987625
93,2023-06-08 16:00:00+00:00,0.049363386,0.052,0.041497152,0.04110058,0.04007136,0.041417,0.040958032,0.040993493,0.04108578,Five Points,39.751184,-104.987625
94,2023-06-08 17:00:00+00:00,0.05659308,0.058,0.053750176,0.047972046,0.047725674,0.047118198,0.047801595,0.04760299,0.0476136,Five Points,39.751184,-104.987625
95,2023-06-08 18:00:00+00:00,0.058790248,0.062,0.05720216,0.055021588,0.051242977,0.051102225,0.050825592,0.051017784,0.051030632,Five Points,39.751184,-104.987625
96,2023-06-08 19:00:00+00:00,0.060293924,0.064,0.056650307,0.055403166,0.053884387,0.05155838,0.051482648,0.051381662,0.05130515,Five Points,39.751184,-104.987625
97,2023-06-08 20:00:00+00:00,0.0611616,0.06299999999999999,0.05686272,0.053916894,0.05298086,0.051936727,0.050387572,0.05034069,0.05031584,Five Points,39.751184,-104.987625
98,2023-06-08 21:00:00+00:00,0.058835577,0.066,0.05677904,0.053330515,0.05104524,0.050354857,0.04958326,0.04843943,0.048407182,Five Points,39.751184,-104.987625
99,2023-06-08 22:00:00+00:00,0.06266686,0.064,0.05462588,0.05297947,0.05025916,0.048497993,0.04795471,0.04733679,0.046389833,Five Points,39.751184,-104.987625
100,2023-06-08 23:00:00+00:00,0.058345914,0.06,0.056968298,0.05070861,0.04943292,0.047339313,0.045949586,0.045508917,0.04498331,Five Points,39.751184,-104.987625
101,2023-06-09 00:00:00+00:00,0.054685414,0.059,0.053123485,0.05211301,0.047481246,0.04652655,0.044901554,0.043782596,0.04340315,Five Points,39.751184,-104.987625
102,2023-06-09 01:00:00+00:00,0.05293031,0.058,0.048888497,0.047820847,0.047103617,0.043678183,0.042953916,0.04165263,0.04068894,Five Points,39.751184,-104.987625
103,2023-06-09 02:00:00+00:00,0.051003788,0.059,0.046461258,0.043809056,0.043113828,0.042588536,0.04001881,0.039444618,0.03833333,Five Points,39.751184,-104.987625
104,2023-06-09 03:00:00+00:00,0.051638212,0.054,0.044532355,0.04156643,0.039786942,0.03927306,0.038873933,0.03682457,0.036334317,Five Points,39.751184,-104.987625
105,2023-06-09 04:00:00+00:00,0.047201574,0.058,0.04514181,0.040249374,0.038126424,0.036725484,0.036314417,0.035979286,0.034141365,Five Points,39.751184,-104.987625
106,2023-06-09 05:00:00+00:00,0.052471086,0.062,0.04247572,0.040969323,0.03732641,0.035581026,0.03443945,0.034100182,0.033809923,Five Points,39.751184,-104.987625
107,2023-06-09 06:00:00+00:00,0.05664025,0.06,0.0472446,0.039181046,0.03794809,0.034818664,0.03334765,0.032366034,0.032064237,Five Points,39.751184,-104.987625
108,2023-06-09 07:00:00+00:00,0.053964138,0.042,0.050613943,0.04252902,0.035862684,0.03482564,0.032300018,0.031109717,0.030288901,Five Points,39.751184,-104.987625
109,2023-06-09 08:00:00+00:00,0.036923613,0.042,0.048891928,0.045861356,0.03872537,0.032932915,0.032087933,0.030037943,0.029053966,Five Points,39.751184,-104.987625
110,2023-06-09 09:00:00+00:00,0.037929334,0.04,0.03336373,0.04371905,0.040980384,0.034677245,0.029957004,0.029285071,0.027644066,Five Points,39.751184,-104.987625
111,2023-06-09 10:00:00+00:00,0.03466133,0.041,0.032717288,0.029047227,0.037620146,0.035181884,0.030048966,0.026403844,0.025894126,Five Points,39.751184,-104.987625
112,2023-06-09 11:00:00+00:00,0.03359535,0.038,0.027743481,0.026240638,0.023512885,0.030191034,0.028304663,0.024590801,0.022044834,Five Points,39.751184,-104.987625
113,2023-06-09 12:00:00+00:00,0.03133464,0.034,0.027433177,0.02331994,0.022288002,0.020420482,0.024775794,0.023527928,0.021109138,Five Points,39.751184,-104.987625
114,2023-06-09 13:00:00+00:00,0.03182334,0.028999999999999998,0.029584816,0.02703714,0.02439482,0.02372272,0.022568716,0.025271852,0.024479015,Five Points,39.751184,-104.987625
115,2023-06-09 14:00:00+00:00,0.03306279,0.031000000000000003,0.03539178,0.033978596,0.032410357,0.030707693,0.0302894,0.029558627,0.03126935,Five Points,39.751184,-104.987625
116,2023-06-09 15:00:00+00:00,0.039000858,0.038,0.040777054,0.042311646,0.041447267,0.04043082,0.039354403,0.03908279,0.038610846,Five Points,39.751184,-104.987625
117,2023-06-09 16:00:00+00:00,0.047609113,0.046,0.048547,0.04978263,0.05070473,0.05018345,0.049612306,0.049005475,0.048856143,Five Points,39.751184,-104.987625
118,2023-06-09 17:00:00+00:00,0.053721506,0.056,0.05533719,0.056018475,0.056761757,0.05725285,0.057029836,0.05682911,0.05667193,Five Points,39.751184,-104.987625
119,2023-06-09 18:00:00+00:00,0.06017031,0.06299999999999999,0.05777203,0.05898008,0.059406746,0.059790406,0.059974045,0.059932783,0.05997075,Five Points,39.751184,-104.987625
120,2023-06-09 19:00:00+00:00,0.063073926,0.061000000000000006,0.05996697,0.05811294,0.058942366,0.05919263,0.059380807,0.059445504,0.059466396,Five Points,39.751184,-104.987625
121,2023-06-09 20:00:00+00:00,0.058162183,0.053000000000000005,0.0603635,0.057925604,0.056539975,0.057116527,0.05728456,0.05741348,0.057452176,Five Points,39.751184,-104.987625
122,2023-06-09 21:00:00+00:00,0.05087305,0.052,0.054974705,0.056530412,0.05477544,0.053786997,0.054206856,0.05433876,0.054440465,Five Points,39.751184,-104.987625
123,2023-06-09 22:00:00+00:00,0.049736213,0.052,0.04884632,0.051711675,0.052874267,0.051536676,0.050782196,0.051126465,0.051241532,Five Points,39.751184,-104.987625
124,2023-06-09 23:00:00+00:00,0.049785882,0.05,0.04781033,0.047183223,0.049269844,0.050203707,0.04914687,0.048529446,0.048823625,Five Points,39.751184,-104.987625
125,2023-06-10 00:00:00+00:00,0.048004616,0.051,0.047821738,0.046465695,0.04603381,0.047585152,0.048293907,0.04747511,0.04697747,Five Points,39.751184,-104.987625
126,2023-06-10 01:00:00+00:00,0.047792308,0.048,0.045027252,0.044903327,0.04395783,0.043629438,0.044780478,0.04533194,0.04465606,Five Points,39.751184,-104.987625
127,2023-06-10 02:00:00+00:00,0.043456513,0.045,0.04327301,0.0413171,0.041233085,0.040517185,0.04027166,0.041224968,0.041714873,Five Points,39.751184,-104.987625
128,2023-06-10 03:00:00+00:00,0.040660262,0.042,0.039323114,0.03919145,0.037767977,0.037703507,0.037145562,0.03694175,0.037783403,Five Points,39.751184,-104.987625
129,2023-06-10 04:00:00+00:00,0.038399115,0.035,0.037261922,0.036295984,0.03619828,0.03506897,0.03501788,0.034548342,0.03436975,Five Points,39.751184,-104.987625
130,2023-06-10 05:00:00+00:00,0.03265581,0.036,0.035513777,0.03468556,0.033961944,0.03388376,0.032977182,0.03293517,0.032529,Five Points,39.751184,-104.987625
131,2023-06-10 06:00:00+00:00,0.03389672,0.034,0.031123674,0.03319293,0.0325673,0.031988863,0.03192672,0.031190157,0.031154841,Five Points,39.751184,-104.987625
132,2023-06-10 07:00:00+00:00,0.031664185,0.034,0.031574205,0.029512974,0.031087374,0.03057897,0.030116912,0.030066593,0.029452838,Five Points,39.751184,-104.987625
133,2023-06-10 08:00:00+00:00,0.031435583,0.03,0.029365063,0.029296158,0.02771094,0.028988954,0.028583944,0.028212467,0.028171277,Five Points,39.751184,-104.987625
134,2023-06-10 09:00:00+00:00,0.026512953,0.025000000000000005,0.027810292,0.026194764,0.026141599,0.024848493,0.025856491,0.02553479,0.02523669,Five Points,39.751184,-104.987625
135,2023-06-10 10:00:00+00:00,0.021239612,0.031000000000000003,0.02256362,0.023538776,0.022339184,0.022297645,0.02131991,0.022081055,0.021837775,Five Points,39.751184,-104.987625
136,2023-06-10 11:00:00+00:00,0.026164705,0.025000000000000005,0.017581124,0.018500406,0.019175684,0.018303137,0.018274156,0.017589312,0.018118793,Five Points,39.751184,-104.987625
137,2023-06-10 12:00:00+00:00,0.02080142,0.022,0.021818165,0.01621774,0.016788622,0.017238338,0.016677959,0.016659033,0.016205193,Five Points,39.751184,-104.987625
138,2023-06-10 13:00:00+00:00,0.021903386,0.019,0.020909643,0.02154185,0.018143762,0.018512093,0.018797727,0.018428754,0.01841598,Five Points,39.751184,-104.987625
139,2023-06-10 14:00:00+00:00,0.024365814,0.031000000000000003,0.026738718,0.026133323,0.02650643,0.024313414,0.024546355,0.02473612,0.02448679,Five Points,39.751184,-104.987625
140,2023-06-10 15:00:00+00:00,0.03912902,0.037,0.03344065,0.03488248,0.03453855,0.034773108,0.033419598,0.033568755,0.03369009,Five Points,39.751184,-104.987625
141,2023-06-10 16:00:00+00:00,0.044174995,0.04700000000000001,0.04625643,0.042413715,0.043259554,0.043052465,0.043186266,0.04242613,0.042504787,Five Points,39.751184,-104.987625
142,2023-06-10 17:00:00+00:00,0.053018656,0.056,0.050027233,0.051601958,0.049173236,0.049669012,0.04956699,0.04962202,0.04941747,Five Points,39.751184,-104.987625
143,2023-06-10 18:00:00+00:00,0.058864,0.06,0.055415854,0.05301279,0.05408404,0.05265095,0.05288262,0.052853633,0.052849945,Five Points,39.751184,-104.987625
144,2023-06-10 19:00:00+00:00,0.059006765,0.06299999999999999,0.057664882,0.054764375,0.052983794,0.053681094,0.052862667,0.052960437,0.0529673,Five Points,39.751184,-104.987625
145,2023-06-10 20:00:00+00:00,0.060859725,0.065,0.056156892,0.055042766,0.05279999,0.051542845,0.05201888,0.051493995,0.0515327,Five Points,39.751184,-104.987625
146,2023-06-10 21:00:00+00:00,0.062249415,0.064,0.057387635,0.053414043,0.052516803,0.050812792,0.049856648,0.050218325,0.04984068,Five Points,39.751184,-104.987625
147,2023-06-10 22:00:00+00:00,0.058317393,0.062,0.056699414,0.053013563,0.050021373,0.04936397,0.048088215,0.047353443,0.04763911,Five Points,39.751184,-104.987625
148,2023-06-10 23:00:00+00:00,0.057613898,0.059,0.053850006,0.05262067,0.049810752,0.047523405,0.04702018,0.046006627,0.04538936,Five Points,39.751184,-104.987625
149,2023-06-11 00:00:00+00:00,0.053686455,0.058,0.05253677,0.049988125,0.04914645,0.047178056,0.045539934,0.04516669,0.04437978,Five Points,39.751184,-104.987625
150,2023-06-11 01:00:00+00:00,0.052621804,0.053000000000000005,0.04856687,0.04782066,0.046052873,0.04541022,0.043860205,0.042516902,0.04218513,Five Points,39.751184,-104.987625
151,2023-06-11 02:00:00+00:00,0.046108745,0.04900000000000001,0.045764588,0.04305094,0.042568386,0.041254852,0.040777303,0.03953738,0.038385615,Five Points,39.751184,-104.987625
152,2023-06-11 03:00:00+00:00,0.04344805,0.044,0.04093701,0.040703196,0.038833402,0.03846818,0.037445415,0.037053935,0.0359607,Five Points,39.751184,-104.987625
