OID_,Id,latitude,longitude
211,0,39.4006996,-105.2149963
212,0,39.4006996,-105.1839981
213,0,39.4006996,-105.1529999
214,0,39.4006996,-105.1220016
215,0,39.4006996,-105.0910034
216,0,39.4006996,-105.0599976
217,0,39.4006996,-105.0289993
218,0,39.4006996,-104.9990005
219,0,39.4006996,-104.9680023
220,0,39.4006996,-104.9369965
221,0,39.4006996,-104.9059982
222,0,39.4006996,-104.8750000
223,0,39.4006996,-104.8440018
224,0,39.4006996,-104.8130035
225,0,39.4006996,-104.7819977
226,0,39.4006996,-104.7509995
227,0,39.4006996,-104.7200012
228,0,39.4006996,-104.6890030
229,0,39.4006996,-104.6579971
230,0,39.4006996,-104.6269989
231,0,39.4006996,-104.5970001
232,0,39.4006996,-104.5660019
233,0,39.4006996,-104.5350037
234,0,39.4006996,-104.5039978
235,0,39.4006996,-104.4729996
236,0,39.4006996,-104.4420013
237,0,39.4006996,-104.4110031
238,0,39.4006996,-104.3799973
239,0,39.4006996,-104.3489990
240,0,39.4006996,-104.3180008
241,0,39.4315987,-105.7720032
242,0,39.4315987,-105.7409973
243,0,39.4315987,-105.7099991
244,0,39.4315987,-105.6790009
245,0,39.4315987,-105.6480026
246,0,39.4315987,-105.6169968
247,0,39.4315987,-105.5859985
248,0,39.4315987,-105.5550003
249,0,39.4315987,-105.5240021
250,0,39.4315987,-105.4929962
251,0,39.4315987,-105.4619980
252,0,39.4315987,-105.4319992
253,0,39.4315987,-105.4010010
254,0,39.4315987,-105.3700027
255,0,39.4315987,-105.3389969
256,0,39.4315987,-105.3079987
257,0,39.4315987,-105.2770004
258,0,39.4315987,-105.2460022
259,0,39.4315987,-105.2149963
260,0,39.4315987,-105.1839981
261,0,39.4315987,-105.1529999
262,0,39.4315987,-105.1220016
263,0,39.4315987,-105.0910034
264,0,39.4315987,-105.0599976
265,0,39.4315987,-105.0289993
266,0,39.4315987,-104.9990005
267,0,39.4315987,-104.9680023
268,0,39.4315987,-104.9369965
269,0,39.4315987,-104.9059982
270,0,39.4315987,-104.8750000
271,0,39.4315987,-104.8440018
272,0,39.4315987,-104.8130035
273,0,39.4315987,-104.7819977
274,0,39.4315987,-104.7509995
275,0,39.4315987,-104.7200012
