,date,preds_0_Idaho Springs,actual,preds_1_Idaho Springs,preds_2_Idaho Springs,preds_3_Idaho Springs,preds_4_Idaho Springs,preds_5_Idaho Springs,preds_6_Idaho Springs,preds_7_Idaho Springs,site_name,lat,lon
49,2023-05-04 08:00:00+00:00,0.051589888,0.053,0.049387753,0.04999925,0.050543882,0.050604474,0.05031507,0.04823531,0.048732467,Idaho Springs,39.792519,-105.49127
50,2023-05-04 09:00:00+00:00,0.05199064,0.053,0.050581045,0.048715167,0.049217917,0.04965556,0.04970279,0.0494802,0.047861837,Idaho Springs,39.792519,-105.49127
51,2023-05-04 10:00:00+00:00,0.051906057,0.05,0.050891515,0.049684744,0.04815183,0.048551094,0.048885968,0.048921525,0.048751526,Idaho Springs,39.792519,-105.49127
52,2023-05-04 11:00:00+00:00,0.048844136,0.049,0.050794646,0.049889658,0.048882943,0.047668155,0.047971148,0.04822011,0.048247296,Idaho Springs,39.792519,-105.49127
53,2023-05-04 12:00:00+00:00,0.0473365,0.05,0.04717097,0.049007144,0.04821355,0.047379877,0.04642279,0.046657536,0.04685652,Idaho Springs,39.792519,-105.49127
54,2023-05-04 13:00:00+00:00,0.047232673,0.048,0.04420537,0.044037864,0.045810185,0.045069925,0.044333592,0.043541163,0.043724544,Idaho Springs,39.792519,-105.49127
55,2023-05-04 14:00:00+00:00,0.04593835,0.051,0.045157555,0.042525463,0.042389244,0.04383764,0.043242816,0.042686045,0.0421434,Idaho Springs,39.792519,-105.49127
56,2023-05-04 15:00:00+00:00,0.051568482,0.056,0.047008727,0.046406813,0.04453559,0.04443472,0.045564838,0.04508318,0.04461657,Idaho Springs,39.792519,-105.49127
57,2023-05-04 16:00:00+00:00,0.060233343,0.054,0.056330536,0.05311555,0.05274774,0.05145773,0.051379263,0.05237244,0.051884584,Idaho Springs,39.792519,-105.49127
58,2023-05-04 17:00:00+00:00,0.05431208,0.054,0.06121223,0.05746506,0.054370977,0.0539887,0.052676648,0.05259872,0.053592276,Idaho Springs,39.792519,-105.49127
59,2023-05-04 18:00:00+00:00,0.053980183,0.054,0.054316547,0.06041587,0.05726421,0.054749582,0.054459848,0.05349655,0.0534372,Idaho Springs,39.792519,-105.49127
60,2023-05-04 19:00:00+00:00,0.054692116,0.054,0.054672167,0.05495616,0.060037438,0.057366073,0.055313446,0.055087008,0.0543195,Idaho Springs,39.792519,-105.49127
61,2023-05-04 20:00:00+00:00,0.053192902,0.053,0.0538898,0.053872682,0.054107003,0.05835854,0.05615849,0.05450068,0.0543195,Idaho Springs,39.792519,-105.49127
62,2023-05-04 21:00:00+00:00,0.052651245,0.054,0.052838266,0.053469237,0.053453993,0.053670626,0.057476018,0.0555685,0.054150596,Idaho Springs,39.792519,-105.49127
63,2023-05-04 22:00:00+00:00,0.05402069,0.053,0.052695125,0.05287184,0.053445783,0.053431373,0.053635173,0.05716295,0.05539023,Idaho Springs,39.792519,-105.49127
64,2023-05-04 23:00:00+00:00,0.05230273,0.056,0.05329388,0.05211788,0.052262407,0.05275648,0.052744012,0.05292064,0.055999473,Idaho Springs,39.792519,-105.49127
65,2023-05-05 00:00:00+00:00,0.05474363,0.056999999999999995,0.051095575,0.05196669,0.050995708,0.051125888,0.05157672,0.051565286,0.05173023,Idaho Springs,39.792519,-105.49127
66,2023-05-05 01:00:00+00:00,0.053908367,0.053,0.05159295,0.048421904,0.049178056,0.048228193,0.048357576,0.048803944,0.048792664,Idaho Springs,39.792519,-105.49127
67,2023-05-05 02:00:00+00:00,0.047186904,0.053,0.048135895,0.04621327,0.043657303,0.044319306,0.04349915,0.04360825,0.04398293,Idaho Springs,39.792519,-105.49127
68,2023-05-05 03:00:00+00:00,0.048840888,0.051,0.042634774,0.04346541,0.041806538,0.039523758,0.040083062,0.039412227,0.039501175,Idaho Springs,39.792519,-105.49127
69,2023-05-05 04:00:00+00:00,0.048367772,0.045,0.046009775,0.04034086,0.041085854,0.03960515,0.037649315,0.038122095,0.03753836,Idaho Springs,39.792519,-105.49127
70,2023-05-05 05:00:00+00:00,0.04288115,0.039,0.04666402,0.044447556,0.03924173,0.039916757,0.038597964,0.036838166,0.03727972,Idaho Springs,39.792519,-105.49127
71,2023-05-05 06:00:00+00:00,0.037650596,0.038,0.04206359,0.045584377,0.0436077,0.03900318,0.039586496,0.03844329,0.036868326,Idaho Springs,39.792519,-105.49127
72,2023-05-05 07:00:00+00:00,0.038088642,0.037,0.03770213,0.041677713,0.044760637,0.043051727,0.039132785,0.03962391,0.03864775,Idaho Springs,39.792519,-105.49127
73,2023-05-05 08:00:00+00:00,0.037047084,0.035,0.038221195,0.03788134,0.04133607,0.043992,0.04256487,0.03931278,0.039721757,Idaho Springs,39.792519,-105.49127
74,2023-05-05 09:00:00+00:00,0.035337985,0.034,0.037500553,0.03854012,0.038243484,0.04121761,0.04342051,0.04227239,0.03963904,Idaho Springs,39.792519,-105.49127
75,2023-05-05 10:00:00+00:00,0.034498796,0.037,0.035906784,0.03785564,0.038789205,0.038526848,0.04107957,0.04291328,0.041964374,Idaho Springs,39.792519,-105.49127
76,2023-05-05 11:00:00+00:00,0.038161363,0.039,0.035472028,0.036760315,0.03854168,0.039381072,0.03915023,0.041375227,0.042963494,Idaho Springs,39.792519,-105.49127
77,2023-05-05 12:00:00+00:00,0.038995877,0.04,0.03809343,0.03557862,0.036771882,0.038377803,0.039113685,0.03891327,0.040855095,Idaho Springs,39.792519,-105.49127
78,2023-05-05 13:00:00+00:00,0.03876424,0.042,0.037764095,0.03690941,0.03455028,0.035617903,0.03700428,0.037629586,0.03746081,Idaho Springs,39.792519,-105.49127
79,2023-05-05 14:00:00+00:00,0.043367527,0.046,0.040590163,0.03976062,0.039105568,0.037388425,0.03814459,0.039156977,0.03963214,Idaho Springs,39.792519,-105.49127
80,2023-05-05 15:00:00+00:00,0.049734954,0.056,0.047793683,0.046007257,0.045553096,0.04516885,0.04410087,0.044606,0.045351975,Idaho Springs,39.792519,-105.49127
81,2023-05-05 16:00:00+00:00,0.05589523,0.05800000000000001,0.0510287,0.049698167,0.048519168,0.04815695,0.047823995,0.04687992,0.047329295,Idaho Springs,39.792519,-105.49127
82,2023-05-05 17:00:00+00:00,0.057677697,0.059000000000000004,0.055929765,0.05230526,0.05123994,0.05018844,0.049875796,0.04960031,0.0488266,Idaho Springs,39.792519,-105.49127
83,2023-05-05 18:00:00+00:00,0.059527185,0.059000000000000004,0.058340963,0.05697974,0.05397984,0.053088374,0.052290395,0.052068874,0.051868614,Idaho Springs,39.792519,-105.49127
84,2023-05-05 19:00:00+00:00,0.058767915,0.064,0.059243426,0.05831688,0.05716834,0.05461371,0.05387753,0.053238,0.05305342,Idaho Springs,39.792519,-105.49127
85,2023-05-05 20:00:00+00:00,0.06273395,0.066,0.057500023,0.057927564,0.0571196,0.05621639,0.05442262,0.05395382,0.053570908,Idaho Springs,39.792519,-105.49127
86,2023-05-05 21:00:00+00:00,0.06455216,0.066,0.061281804,0.05666544,0.057035726,0.056400813,0.055771045,0.05470482,0.054477844,Idaho Springs,39.792519,-105.49127
87,2023-05-05 22:00:00+00:00,0.06511753,0.064,0.06365418,0.06076138,0.05675441,0.057058696,0.056565367,0.05611257,0.055482626,Idaho Springs,39.792519,-105.49127
88,2023-05-05 23:00:00+00:00,0.06442552,0.062000000000000006,0.065579206,0.06424902,0.061731573,0.05838412,0.05864067,0.05821068,0.057803262,Idaho Springs,39.792519,-105.49127
89,2023-05-06 00:00:00+00:00,0.0616814,0.063,0.06428833,0.065356724,0.06421241,0.062109042,0.059287094,0.05951169,0.059107095,Idaho Springs,39.792519,-105.49127
90,2023-05-06 01:00:00+00:00,0.061045483,0.061,0.05967673,0.061856523,0.062666096,0.061768126,0.06002569,0.057624646,0.0578172,Idaho Springs,39.792519,-105.49127
91,2023-05-06 02:00:00+00:00,0.05666334,0.063,0.056712322,0.055659734,0.057065293,0.057616208,0.056942355,0.055558477,0.05373105,Idaho Springs,39.792519,-105.49127
92,2023-05-06 03:00:00+00:00,0.059267875,0.056999999999999995,0.052644506,0.052680958,0.05196984,0.053051773,0.05350847,0.052940413,0.051832862,Idaho Springs,39.792519,-105.49127
93,2023-05-06 04:00:00+00:00,0.05281103,0.06,0.05505217,0.050215483,0.05024209,0.049657624,0.050579686,0.050972246,0.050492916,Idaho Springs,39.792519,-105.49127
94,2023-05-06 05:00:00+00:00,0.058534145,0.055,0.05152223,0.053304322,0.04947652,0.04949873,0.04902456,0.04975066,0.05006525,Idaho Springs,39.792519,-105.49127
95,2023-05-06 06:00:00+00:00,0.052266497,0.051,0.05576931,0.050184708,0.051590666,0.048474535,0.04849214,0.04812682,0.04869329,Idaho Springs,39.792519,-105.49127
96,2023-05-06 07:00:00+00:00,0.049061652,0.053,0.050387435,0.053517226,0.048683334,0.04989756,0.04726933,0.0472837,0.046983276,Idaho Springs,39.792519,-105.49127
97,2023-05-06 08:00:00+00:00,0.051613826,0.051,0.047572225,0.048701636,0.051230706,0.047401655,0.048329856,0.046381667,0.046392117,Idaho Springs,39.792519,-105.49127
98,2023-05-06 09:00:00+00:00,0.04976145,0.05,0.050397232,0.04687588,0.047789294,0.049793486,0.046844132,0.04754174,0.046089202,Idaho Springs,39.792519,-105.49127
99,2023-05-06 10:00:00+00:00,0.04950772,0.051,0.049259234,0.04982593,0.046937015,0.047658402,0.049209014,0.04692664,0.047479767,Idaho Springs,39.792519,-105.49127
100,2023-05-06 11:00:00+00:00,0.051167663,0.052,0.049546584,0.049321093,0.049787365,0.047494423,0.04805748,0.04926904,0.047394633,Idaho Springs,39.792519,-105.49127
101,2023-05-06 12:00:00+00:00,0.051480785,0.051,0.050525557,0.048989985,0.04879448,0.049189366,0.04726675,0.047736816,0.04873642,Idaho Springs,39.792519,-105.49127
102,2023-05-06 13:00:00+00:00,0.05032264,0.051,0.05089336,0.049970604,0.04858976,0.048410375,0.04877896,0.046961028,0.04741126,Idaho Springs,39.792519,-105.49127
103,2023-05-06 14:00:00+00:00,0.052689765,0.053,0.051960006,0.05242897,0.051743306,0.05068654,0.05054506,0.05084756,0.049318373,Idaho Springs,39.792519,-105.49127
104,2023-05-06 15:00:00+00:00,0.05428269,0.054,0.053961035,0.053404327,0.053736567,0.053212903,0.052368887,0.05225183,0.052513465,Idaho Springs,39.792519,-105.49127
105,2023-05-06 16:00:00+00:00,0.05361129,0.05800000000000001,0.053922463,0.05366021,0.053229596,0.05350022,0.053073365,0.052396026,0.05230258,Idaho Springs,39.792519,-105.49127
106,2023-05-06 17:00:00+00:00,0.058418702,0.06,0.053517323,0.05378175,0.053568345,0.0532163,0.05342631,0.053111255,0.052621435,Idaho Springs,39.792519,-105.49127
107,2023-05-06 18:00:00+00:00,0.059219502,0.065,0.057423905,0.05315162,0.05337556,0.053200807,0.05293845,0.053079076,0.052880876,Idaho Springs,39.792519,-105.49127
108,2023-05-06 19:00:00+00:00,0.06391271,0.067,0.057362095,0.055739354,0.051964253,0.052156255,0.052019086,0.05183737,0.051922325,Idaho Springs,39.792519,-105.49127
109,2023-05-06 20:00:00+00:00,0.06587167,0.062000000000000006,0.062385228,0.056410484,0.054979146,0.051774845,0.051928688,0.05183066,0.051723476,Idaho Springs,39.792519,-105.49127
110,2023-05-06 21:00:00+00:00,0.060032904,0.061,0.06455956,0.06134218,0.05603696,0.05480425,0.0520963,0.052221816,0.052148696,Idaho Springs,39.792519,-105.49127
111,2023-05-06 22:00:00+00:00,0.06004438,0.062000000000000006,0.058921162,0.063211516,0.06039309,0.0559768,0.054950953,0.052674465,0.052779295,Idaho Springs,39.792519,-105.49127
112,2023-05-06 23:00:00+00:00,0.062049873,0.062000000000000006,0.059790295,0.05872576,0.062420975,0.06012581,0.05660234,0.05576002,0.05384662,Idaho Springs,39.792519,-105.49127
113,2023-05-07 00:00:00+00:00,0.062222388,0.06,0.06227985,0.060137607,0.059228368,0.06231562,0.060386084,0.057402335,0.056681264,Idaho Springs,39.792519,-105.49127
114,2023-05-07 01:00:00+00:00,0.057862442,0.05800000000000001,0.060289647,0.060339313,0.058637593,0.057889972,0.06054905,0.058837816,0.056275923,Idaho Springs,39.792519,-105.49127
115,2023-05-07 02:00:00+00:00,0.055232894,0.055,0.055080663,0.05703857,0.05707283,0.055841476,0.05526662,0.0574448,0.05598489,Idaho Springs,39.792519,-105.49127
116,2023-05-07 03:00:00+00:00,0.05229619,0.05,0.05255078,0.0524268,0.053882122,0.053909708,0.05288471,0.052416604,0.054260563,Idaho Springs,39.792519,-105.49127
117,2023-05-07 04:00:00+00:00,0.048498083,0.047,0.050926168,0.051137205,0.051039506,0.05225122,0.052274402,0.051438402,0.05106875,Idaho Springs,39.792519,-105.49127
118,2023-05-07 05:00:00+00:00,0.046819013,0.045,0.04836401,0.050432738,0.05060581,0.050523054,0.05153739,0.05155654,0.0508753,Idaho Springs,39.792519,-105.49127
119,2023-05-07 06:00:00+00:00,0.045183815,0.048,0.047004886,0.048316326,0.050025053,0.05017253,0.050102748,0.050948508,0.050964598,Idaho Springs,39.792519,-105.49127
120,2023-05-07 07:00:00+00:00,0.047955036,0.047,0.045229945,0.04674336,0.047813747,0.049253497,0.049376626,0.04931912,0.05001861,Idaho Springs,39.792519,-105.49127
121,2023-05-07 08:00:00+00:00,0.046408158,0.047,0.047327552,0.04505574,0.046283506,0.04717888,0.048369493,0.048470363,0.048423138,Idaho Springs,39.792519,-105.49127
122,2023-05-07 09:00:00+00:00,0.046580743,0.045,0.046002097,0.04678571,0.04492412,0.045938846,0.046668928,0.047631744,0.047713798,Idaho Springs,39.792519,-105.49127
123,2023-05-07 10:00:00+00:00,0.04489379,0.044,0.04645269,0.045957178,0.046592508,0.045091107,0.04589345,0.04646534,0.047224477,Idaho Springs,39.792519,-105.49127
124,2023-05-07 11:00:00+00:00,0.044212043,0.045,0.04512635,0.04650766,0.04609445,0.046611596,0.04540937,0.046055373,0.046528246,Idaho Springs,39.792519,-105.49127
125,2023-05-07 12:00:00+00:00,0.044289306,0.044,0.043451574,0.044275463,0.045456845,0.04511327,0.04553245,0.044546008,0.04510786,Idaho Springs,39.792519,-105.49127
126,2023-05-07 13:00:00+00:00,0.042263933,0.044,0.04257986,0.041795436,0.042536464,0.043575488,0.043282438,0.04363271,0.042788357,Idaho Springs,39.792519,-105.49127
127,2023-05-07 14:00:00+00:00,0.046012193,0.048,0.044286422,0.044539224,0.043956887,0.04450189,0.045273103,0.045050934,0.045327183,Idaho Springs,39.792519,-105.49127
128,2023-05-07 15:00:00+00:00,0.05084145,0.052,0.04903298,0.047861595,0.048022043,0.047619574,0.048033275,0.048684154,0.048475828,Idaho Springs,39.792519,-105.49127
129,2023-05-07 16:00:00+00:00,0.05275966,0.05,0.0516902,0.05035795,0.049477033,0.04961282,0.049253162,0.04963833,0.05027142,Idaho Springs,39.792519,-105.49127
130,2023-05-07 17:00:00+00:00,0.04996623,0.049,0.052865077,0.05197148,0.050856393,0.050095744,0.050209515,0.049911533,0.050237205,Idaho Springs,39.792519,-105.49127
131,2023-05-07 18:00:00+00:00,0.0495097,0.047,0.050549667,0.05306437,0.052284233,0.05129115,0.050641447,0.050735142,0.05048632,Idaho Springs,39.792519,-105.49127
132,2023-05-07 19:00:00+00:00,0.04686065,0.049,0.049663927,0.050606277,0.052791074,0.052146543,0.051389918,0.05093929,0.051001135,Idaho Springs,39.792519,-105.49127
133,2023-05-07 20:00:00+00:00,0.049861,0.05,0.047502335,0.05006662,0.050912067,0.052827124,0.05228778,0.051689982,0.051359013,Idaho Springs,39.792519,-105.49127
134,2023-05-07 21:00:00+00:00,0.05018895,0.048,0.05004355,0.047899436,0.05021113,0.05095922,0.052608903,0.05215222,0.05165561,Idaho Springs,39.792519,-105.49127
135,2023-05-07 22:00:00+00:00,0.048500434,0.049,0.050722387,0.05058693,0.048634406,0.05069159,0.05133215,0.05271602,0.052336514,Idaho Springs,39.792519,-105.49127
136,2023-05-07 23:00:00+00:00,0.049386796,0.048,0.048867453,0.050950527,0.05083012,0.049126815,0.05087701,0.05141339,0.052583773,Idaho Springs,39.792519,-105.49127
137,2023-05-08 00:00:00+00:00,0.048611894,0.05,0.05007661,0.0495867,0.0514483,0.0513425,0.049857795,0.051380705,0.051853206,Idaho Springs,39.792519,-105.49127
138,2023-05-08 01:00:00+00:00,0.049370255,0.052,0.047885764,0.049211923,0.048795328,0.05035763,0.050270904,0.049094137,0.050272368,Idaho Springs,39.792519,-105.49127
139,2023-05-08 02:00:00+00:00,0.05044124,0.046,0.047498636,0.046172492,0.04724402,0.046921615,0.048073746,0.048012823,0.047233287,Idaho Springs,39.792519,-105.49127
140,2023-05-08 03:00:00+00:00,0.04210549,0.042,0.046885047,0.044394124,0.04333134,0.044175025,0.043933176,0.04476756,0.044724338,Idaho Springs,39.792519,-105.49127
141,2023-05-08 04:00:00+00:00,0.039920807,0.039,0.04003457,0.044354733,0.04218026,0.04124387,0.041971374,0.041766617,0.042477686,Idaho Springs,39.792519,-105.49127
142,2023-05-08 05:00:00+00:00,0.03821966,0.039,0.03922463,0.0393316,0.043308415,0.041323185,0.04049177,0.041120593,0.040945783,Idaho Springs,39.792519,-105.49127
143,2023-05-08 06:00:00+00:00,0.0398537,0.039,0.03904075,0.039930843,0.040022824,0.043391615,0.041765027,0.041101575,0.041590367,Idaho Springs,39.792519,-105.49127
144,2023-05-08 07:00:00+00:00,0.039720327,0.039,0.0405973,0.03987148,0.040650494,0.040730167,0.043558028,0.042229086,0.041690215,Idaho Springs,39.792519,-105.49127
145,2023-05-08 08:00:00+00:00,0.03984825,0.039,0.040582888,0.041363314,0.040733937,0.041400664,0.04146729,0.04377123,0.0427078,Idaho Springs,39.792519,-105.49127
146,2023-05-08 09:00:00+00:00,0.040032417,0.039,0.04090376,0.041561607,0.042238638,0.04170231,0.042257328,0.042311884,0.04415372,Idaho Springs,39.792519,-105.49127
147,2023-05-08 10:00:00+00:00,0.039944086,0.04,0.041017972,0.041811198,0.04238993,0.042971827,0.04251909,0.042985693,0.043031644,Idaho Springs,39.792519,-105.49127
148,2023-05-08 11:00:00+00:00,0.040214792,0.04,0.040154573,0.041164413,0.04188729,0.042402856,0.04291358,0.042513285,0.04293597,Idaho Springs,39.792519,-105.49127
