,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,preds_8_Five Points,preds_9_Five Points,preds_10_Five Points,preds_11_Five Points,preds_12_Five Points,preds_13_Five Points,preds_14_Five Points,preds_15_Five Points,preds_16_Five Points,preds_17_Five Points,preds_18_Five Points,preds_19_Five Points,preds_20_Five Points,preds_21_Five Points,preds_22_Five Points,preds_23_Five Points,site_name,lat,lon
50,2023-06-05 08:00:00+00:00,0.008504447,0.007702127659574468,0.012996866,0.014611969,0.0169063,0.016942844,0.019634627,0.019754095,0.019338867,0.01824575,0.017927209,0.018011281,0.017465489,0.017257687,0.01712985,0.016906446,0.016956644,0.016925946,0.016780337,0.016760027,0.016684998,0.016656313,0.016511563,0.01639055,0.016314939,Five Points,39.751184,-104.987625
51,2023-06-05 09:00:00+00:00,0.008753505,0.008404255319148936,0.009389751,0.012237314,0.01336123,0.015160006,0.01518833,0.017312383,0.017406303,0.017066177,0.016139986,0.015860189,0.015933828,0.015456649,0.01527697,0.015168504,0.014983963,0.015024273,0.0150001,0.014891089,0.014876236,0.014819565,0.014796209,0.014677547,0.014580369,Five Points,39.751184,-104.987625
52,2023-06-05 10:00:00+00:00,0.009034774,0.009106382978723404,0.009316118,0.009698952,0.011550002,0.012398962,0.013745773,0.013767487,0.0153719345,0.015446137,0.015166426,0.014372943,0.014127444,0.01419044,0.013790804,0.013645565,0.013561497,0.013426457,0.013454715,0.013437754,0.013360687,0.0133483345,0.013291754,0.013268118,0.013166639,Five Points,39.751184,-104.987625
53,2023-06-05 11:00:00+00:00,0.008782647,0.009808510638297872,0.008725302,0.008893456,0.009133841,0.010513009,0.011144227,0.012167094,0.0121832285,0.013420406,0.013480598,0.013241966,0.012547478,0.012331627,0.012383123,0.012075614,0.011972363,0.011918166,0.011840828,0.011856782,0.011845025,0.011767438,0.0117471665,0.011633665,0.011591115,Five Points,39.751184,-104.987625
54,2023-06-05 12:00:00+00:00,0.009775252,0.01051063829787234,0.008947454,0.008914459,0.009014961,0.009188179,0.010192738,0.010667089,0.011407801,0.011419826,0.012380258,0.012430837,0.012222268,0.011608888,0.011421704,0.011460219,0.011258825,0.011202978,0.011181011,0.0111592235,0.01116665,0.01115451,0.011016118,0.0109711345,0.010713756,Five Points,39.751184,-104.987625
55,2023-06-05 13:00:00+00:00,0.011189514,0.011212765957446809,0.010595004,0.010128944,0.010109729,0.01018121,0.010308271,0.011078875,0.011427941,0.011984979,0.011994265,0.012792129,0.012837333,0.012646446,0.01208736,0.011921858,0.011949204,0.011838093,0.01182002,0.011820983,0.011826377,0.011835657,0.011813873,0.011537163,0.011447494,Five Points,39.751184,-104.987625
56,2023-06-05 14:00:00+00:00,0.014377582,0.011914893617021277,0.014358447,0.014028694,0.013765982,0.013752574,0.013804678,0.013902999,0.014472405,0.014735811,0.015166519,0.015174159,0.015881442,0.015923878,0.015742602,0.015213234,0.015058649,0.015079973,0.0150106065,0.01500501,0.015007843,0.014989708,0.0150148915,0.014973589,0.014480098,Five Points,39.751184,-104.987625
57,2023-06-05 15:00:00+00:00,0.017790062,0.012617021276595745,0.01994875,0.019937288,0.019747563,0.019562803,0.019553028,0.019593203,0.0196653,0.020088496,0.02028805,0.02063889,0.020645615,0.021315228,0.02135701,0.021175956,0.020638324,0.02047626,0.020500515,0.020393431,0.020361904,0.020337475,0.020235904,0.020290958,0.02021995,Five Points,39.751184,-104.987625
58,2023-06-05 16:00:00+00:00,0.019913439,0.013319148936170214,0.024127888,0.025449963,0.025442885,0.025305483,0.025170734,0.025163358,0.02519164,0.025241923,0.025534172,0.025678696,0.025954638,0.025960367,0.02656646,0.026605379,0.026433924,0.025913024,0.025749104,0.025777658,0.025614606,0.025548546,0.02549216,0.025308276,0.025391767,Five Points,39.751184,-104.987625
59,2023-06-05 17:00:00+00:00,0.02137548,0.014021276595744682,0.027018823,0.029623117,0.03043921,0.030434318,0.030339308,0.03024462,0.03023991,0.030257408,0.0302872,0.030465206,0.030561462,0.030770235,0.030775003,0.031308763,0.03134397,0.031185584,0.03068964,0.030524982,0.030559685,0.030324034,0.030218178,0.030129839,0.029870858,Five Points,39.751184,-104.987625
