,date,preds_0_Idaho Springs,actual,preds_1_Idaho Springs,preds_2_Idaho Springs,preds_3_Idaho Springs,preds_4_Idaho Springs,preds_5_Idaho Springs,preds_6_Idaho Springs,preds_7_Idaho Springs,preds_8_Idaho Springs,preds_9_Idaho Springs,preds_10_Idaho Springs,preds_11_Idaho Springs,preds_12_Idaho Springs,preds_13_Idaho Springs,preds_14_Idaho Springs,preds_15_Idaho Springs,preds_16_Idaho Springs,preds_17_Idaho Springs,preds_18_Idaho Springs,preds_19_Idaho Springs,preds_20_Idaho Springs,preds_21_Idaho Springs,preds_22_Idaho Springs,preds_23_Idaho Springs,site_name,lat,lon
34,2023-06-04 16:00:00+00:00,0.05013945,0.06,0.045702703,0.039319545,0.03261494,0.033625577,0.032262992,0.032230474,0.032052007,0.031410657,0.031744774,0.03185191,0.031918798,0.031813636,0.031764276,0.031583484,0.03150966,0.0314201,0.031388927,0.03138042,0.031364854,0.03136513,0.03134683,0.03132961,0.031233393,Idaho Springs,39.792519,-105.49127
35,2023-06-04 17:00:00+00:00,0.05747763,0.056999999999999995,0.04762322,0.044082757,0.0389097,0.03371253,0.034456927,0.03340229,0.03337763,0.033242594,0.032783292,0.033013493,0.033086397,0.033132195,0.033059,0.03302286,0.032877926,0.032809995,0.032716036,0.032679133,0.032658946,0.032621816,0.032623526,0.032579217,0.032548245,Idaho Springs,39.792519,-105.49127
36,2023-06-04 18:00:00+00:00,0.05281089,0.058,0.05329605,0.045387346,0.042471014,0.038432755,0.03458726,0.035149038,0.034361742,0.03434333,0.03424522,0.033919867,0.03407992,0.034132466,0.03416756,0.034106523,0.034072947,0.033921175,0.033842243,0.033727266,0.033680595,0.033645686,0.03358564,0.033588693,0.03352363,Idaho Springs,39.792519,-105.49127
37,2023-06-04 19:00:00+00:00,0.05520258,0.058,0.050014473,0.050413523,0.04364517,0.041287474,0.038178105,0.035194896,0.03561745,0.03501263,0.03499889,0.03492486,0.03468158,0.03480443,0.034847766,0.034879357,0.034819312,0.0347836,0.034611806,0.034519408,0.034384195,0.034329522,0.034283914,0.03420888,0.03421272,Idaho Springs,39.792519,-105.49127
38,2023-06-04 20:00:00+00:00,0.054248355,0.05500000000000001,0.05140872,0.047161777,0.04750384,0.041972276,0.040128052,0.03766271,0.035363518,0.035685476,0.03522861,0.035218306,0.035162147,0.034974135,0.035074197,0.03511285,0.035143446,0.035081312,0.035042644,0.03485133,0.0347475,0.034596846,0.034536727,0.034484573,0.034401894,Idaho Springs,39.792519,-105.49127
39,2023-06-04 21:00:00+00:00,0.051599585,0.04900000000000001,0.050830126,0.0485224,0.044868026,0.04514227,0.040836886,0.03937952,0.037438314,0.0356431,0.035885494,0.035536326,0.035528556,0.035484605,0.035331633,0.035419445,0.035456218,0.035487022,0.035421945,0.03538062,0.03517428,0.03506276,0.03490321,0.034840856,0.034786522,Idaho Springs,39.792519,-105.49127
40,2023-06-04 22:00:00+00:00,0.045738276,0.046,0.048290607,0.047666777,0.04568046,0.04274252,0.04295679,0.039513454,0.03834105,0.03676285,0.035341736,0.035529524,0.03525409,0.03524784,0.035210527,0.035071637,0.035157885,0.03519576,0.03522825,0.03515881,0.035114758,0.034896635,0.03478058,0.034618407,0.03455666,Idaho Springs,39.792519,-105.49127
41,2023-06-04 23:00:00+00:00,0.04355798,0.05,0.043305915,0.045399133,0.0448563,0.043234248,0.040891573,0.041066967,0.03821154,0.03722813,0.035909995,0.034751017,0.034900308,0.034670237,0.034664746,0.034629352,0.034486163,0.03458122,0.03462357,0.0346598,0.034582946,0.034535058,0.034303635,0.034184437,0.034023866,Idaho Springs,39.792519,-105.49127
42,2023-06-05 00:00:00+00:00,0.047437426,0.046,0.0413385,0.041140422,0.042938635,0.042500917,0.041225173,0.03933776,0.039481215,0.03710346,0.03628665,0.03519651,0.034268502,0.034384906,0.034196798,0.0341921,0.034159966,0.034021895,0.0341174,0.034160107,0.0341966,0.034119383,0.03407168,0.033844598,0.033730228,Idaho Springs,39.792519,-105.49127
43,2023-06-05 01:00:00+00:00,0.041818634,0.045,0.043212947,0.038504526,0.03833636,0.039775167,0.039431583,0.038397137,0.036842372,0.036963932,0.034929655,0.03422851,0.033293467,0.03250282,0.032602854,0.032432295,0.032427814,0.03239621,0.032255694,0.03235392,0.03239717,0.032433584,0.03235744,0.032311033,0.032092936,Idaho Springs,39.792519,-105.49127
44,2023-06-05 02:00:00+00:00,0.04094149,0.038,0.03790704,0.038976967,0.035325795,0.03520047,0.036241874,0.03598071,0.035181165,0.0339381,0.034036703,0.032357506,0.03178148,0.03100868,0.03034981,0.030435884,0.030280942,0.030276695,0.030246215,0.030108185,0.030204602,0.03024615,0.030280523,0.030209348,0.030166145,Idaho Springs,39.792519,-105.49127
45,2023-06-05 03:00:00+00:00,0.034622557,0.028000000000000004,0.03738748,0.03501936,0.035898127,0.03306186,0.032968305,0.03377475,0.033569217,0.032920472,0.03190707,0.031988855,0.03059379,0.030117085,0.029477876,0.02892992,0.029003095,0.028866336,0.028862478,0.028834486,0.02870597,0.028795771,0.028834103,0.028865712,0.028799903,Idaho Springs,39.792519,-105.49127
46,2023-06-05 04:00:00+00:00,0.026967132,0.025000000000000005,0.032924812,0.035048008,0.033099044,0.033790536,0.031627413,0.03155481,0.032185435,0.0320191,0.03149206,0.030659605,0.030726798,0.02957699,0.029188143,0.02866739,0.028219584,0.028280316,0.028162913,0.02815953,0.028134674,0.028019212,0.028100329,0.028135045,0.028163968,Idaho Springs,39.792519,-105.49127
47,2023-06-05 05:00:00+00:00,0.025429284,0.019,0.027103182,0.031590573,0.03335604,0.031799592,0.03233308,0.030621024,0.03056422,0.031072685,0.030937372,0.03050315,0.029819218,0.029874647,0.028927948,0.028610222,0.028185433,0.027818676,0.027869152,0.027768506,0.02776554,0.027743526,0.027639696,0.027713941,0.027746338,Idaho Springs,39.792519,-105.49127
