,date,preds_0_Highlands Ranch,actual,preds_1_Highlands Ranch,preds_2_Highlands Ranch,preds_3_Highlands Ranch,preds_4_Highlands Ranch,preds_5_Highlands Ranch,preds_6_Highlands Ranch,preds_7_Highlands Ranch,preds_8_Highlands Ranch,preds_9_Highlands Ranch,preds_10_Highlands Ranch,preds_11_Highlands Ranch,preds_12_Highlands Ranch,preds_13_Highlands Ranch,preds_14_Highlands Ranch,preds_15_Highlands Ranch,preds_16_Highlands Ranch,preds_17_Highlands Ranch,preds_18_Highlands Ranch,preds_19_Highlands Ranch,preds_20_Highlands Ranch,preds_21_Highlands Ranch,preds_22_Highlands Ranch,preds_23_Highlands Ranch,site_name,lat,lon
33,2023-05-04 08:00:00+00:00,0.052119073,0.056,0.046430763,0.044735167,0.04169804,0.038914282,0.03774594,0.03644918,0.035884697,0.03585213,0.035160597,0.034432568,0.033726536,0.03338221,0.032572422,0.031709082,0.031522796,0.03150108,0.031178467,0.031146362,0.031115552,0.031097326,0.031096406,0.031061025,0.030990738,Highlands Ranch,39.567887,-104.957193
34,2023-05-04 09:00:00+00:00,0.05194167,0.048,0.048174955,0.043316472,0.04194135,0.039365616,0.036998842,0.03600218,0.03487527,0.034372307,0.034342308,0.033684347,0.032965858,0.032251917,0.03189801,0.031058546,0.030157687,0.02996286,0.029940216,0.029607536,0.029574247,0.029541127,0.029520104,0.02951911,0.029490937,Highlands Ranch,39.567887,-104.957193
35,2023-05-04 10:00:00+00:00,0.043515004,0.037,0.047394227,0.044060033,0.04001753,0.038835112,0.036621235,0.03458734,0.033717588,0.032711636,0.032250114,0.03222163,0.031578768,0.030851094,0.030118601,0.029753929,0.028894752,0.027988909,0.027796378,0.02777425,0.027455416,0.02742342,0.027389817,0.027367495,0.027366562,Highlands Ranch,39.567887,-104.957193
36,2023-05-04 11:00:00+00:00,0.03301403,0.038,0.03926821,0.04259381,0.03982509,0.036407202,0.03541644,0.03356454,0.03183707,0.031083273,0.030189157,0.029769171,0.029742494,0.029131284,0.028435094,0.027746389,0.027410755,0.026645418,0.025880363,0.025725676,0.02570833,0.02546501,0.025440598,0.025413282,0.025393877,Highlands Ranch,39.567887,-104.957193
37,2023-05-04 12:00:00+00:00,0.034954213,0.03,0.030327793,0.03537173,0.038039982,0.035716318,0.03289548,0.032079395,0.03051727,0.02901943,0.028347598,0.02753398,0.027144983,0.027119886,0.026551329,0.025945777,0.02539109,0.025139745,0.024611412,0.024143787,0.024060136,0.024051163,0.02392232,0.02390809,0.02388655,Highlands Ranch,39.567887,-104.957193
38,2023-05-04 13:00:00+00:00,0.02959021,0.031999999999999994,0.034037624,0.03059662,0.034211278,0.03626745,0.03446897,0.03228247,0.03162706,0.03031047,0.028992897,0.028381603,0.027623847,0.027255094,0.027231092,0.026703687,0.026220314,0.025842136,0.025695585,0.025434501,0.025252245,0.025227014,0.02522392,0.02514999,0.025135815,Highlands Ranch,39.567887,-104.957193
39,2023-05-04 14:00:00+00:00,0.034018893,0.037,0.03192106,0.03503001,0.03271197,0.03532261,0.036838092,0.035498843,0.033815306,0.033284523,0.03216034,0.030992353,0.030431215,0.029717136,0.029360887,0.029337369,0.028825993,0.028408987,0.028120808,0.028022692,0.027861983,0.027749738,0.02772932,0.02772549,0.027610648,Highlands Ranch,39.567887,-104.957193
40,2023-05-04 15:00:00+00:00,0.039367262,0.042,0.036678944,0.03519706,0.03727996,0.03561134,0.037527602,0.038654942,0.037632838,0.03629971,0.03586048,0.034899086,0.033876263,0.033372313,0.03271483,0.03237809,0.03235543,0.031854052,0.031448293,0.031160073,0.031053213,0.030842386,0.030636838,0.030587744,0.030579746,Highlands Ranch,39.567887,-104.957193
41,2023-05-04 16:00:00+00:00,0.0432767,0.04700000000000001,0.04087483,0.03897745,0.037987806,0.03951365,0.03826445,0.03970681,0.04057179,0.039764274,0.03867818,0.03831306,0.03750177,0.03663235,0.036198266,0.035622753,0.035322525,0.03530202,0.034836452,0.034440808,0.034132514,0.03400317,0.033712134,0.033398468,0.033322886,Highlands Ranch,39.567887,-104.957193
42,2023-05-04 17:00:00+00:00,0.047884226,0.052,0.04430256,0.042565078,0.04130412,0.04060288,0.04170704,0.040806465,0.041850843,0.042498276,0.041864324,0.04099143,0.04069264,0.040023625,0.03930558,0.038944688,0.038460713,0.038204886,0.03818718,0.0377742,0.03739954,0.037079748,0.036932494,0.03658014,0.03619262,Highlands Ranch,39.567887,-104.957193
43,2023-05-04 18:00:00+00:00,0.0515816,0.05500000000000001,0.047671374,0.045142956,0.043990538,0.04309215,0.042585306,0.043366782,0.04273811,0.043464288,0.043942735,0.04345125,0.04275545,0.04251412,0.041969992,0.041387126,0.0410936,0.04069791,0.040487368,0.040472694,0.04012255,0.03978576,0.039477475,0.039327398,0.038959906,Highlands Ranch,39.567887,-104.957193
44,2023-05-04 19:00:00+00:00,0.053558156,0.056999999999999995,0.04991099,0.04697387,0.04526077,0.04443244,0.0437735,0.04341272,0.04395836,0.04353304,0.04404194,0.04440662,0.04400496,0.0434234,0.043219477,0.04275948,0.04227056,0.042025667,0.04169575,0.04152005,0.041507743,0.041207604,0.040901516,0.040604558,0.040454928,Highlands Ranch,39.567887,-104.957193
45,2023-05-04 20:00:00+00:00,0.054150235,0.058,0.05079995,0.04791512,0.045753196,0.044458676,0.04382894,0.04334986,0.043098312,0.043445542,0.04318286,0.043506846,0.04378023,0.043453075,0.042966686,0.042795096,0.042409226,0.042005,0.04180481,0.04153655,0.04139386,0.041383803,0.041132294,0.040858332,0.040577978,Highlands Ranch,39.567887,-104.957193
46,2023-05-04 21:00:00+00:00,0.055529274,0.054,0.051108778,0.04831487,0.046153013,0.044509035,0.043521818,0.04306131,0.042713717,0.04254817,0.042773418,0.042602587,0.04284637,0.043087173,0.042780966,0.04232349,0.04216358,0.041809525,0.041446358,0.041270003,0.04103657,0.040913276,0.040904555,0.040682863,0.040429547,Highlands Ranch,39.567887,-104.957193
47,2023-05-04 22:00:00+00:00,0.049359426,0.05,0.05106259,0.047366895,0.04513215,0.043447416,0.042173713,0.04143554,0.0410941,0.040865332,0.0407668,0.040883146,0.04078672,0.040959667,0.0411683,0.040890627,0.040473066,0.04032901,0.040016044,0.039702076,0.039552987,0.03935836,0.039256256,0.039249014,0.039062183,Highlands Ranch,39.567887,-104.957193
48,2023-05-04 23:00:00+00:00,0.046159074,0.052,0.045544777,0.04690833,0.043964785,0.04217915,0.040794548,0.039766982,0.039153352,0.03888576,0.038713027,0.038654137,0.038714483,0.038661443,0.038793746,0.038979862,0.038723066,0.038333442,0.03819932,0.03791032,0.037622556,0.03748744,0.037312504,0.037221592,0.037215162,Highlands Ranch,39.567887,-104.957193
49,2023-05-05 00:00:00+00:00,0.050986238,0.054,0.04493941,0.04444646,0.04548408,0.043187603,0.041800287,0.040711556,0.039884776,0.03939409,0.039176516,0.039040808,0.038994644,0.03904444,0.038988505,0.039126728,0.039309934,0.03906155,0.038683306,0.038552508,0.038268376,0.037980348,0.037843592,0.03766607,0.037573997,Highlands Ranch,39.567887,-104.957193
50,2023-05-05 01:00:00+00:00,0.050302465,0.053000000000000005,0.047219146,0.042452775,0.04207228,0.042884663,0.041098826,0.040016416,0.039115015,0.038440015,0.038015217,0.03782855,0.037701704,0.03765521,0.03772162,0.037644453,0.03780886,0.03799618,0.03775116,0.03737654,0.03724553,0.03695738,0.036659632,0.0365177,0.036335733,Highlands Ranch,39.567887,-104.957193
51,2023-05-05 02:00:00+00:00,0.046849728,0.048,0.04416564,0.04181839,0.03852964,0.038248856,0.038858894,0.037513126,0.03665819,0.03591749,0.03533844,0.03496454,0.034789685,0.034663953,0.03460891,0.034697816,0.034595065,0.034784254,0.034973975,0.034735065,0.034368355,0.034238618,0.033950116,0.03364908,0.033506934,Highlands Ranch,39.567887,-104.957193
52,2023-05-05 03:00:00+00:00,0.042400602,0.041,0.041281655,0.039162908,0.037442528,0.034942318,0.034726582,0.035202313,0.034112185,0.033406515,0.032762844,0.032254312,0.03191357,0.03175105,0.031627655,0.031569954,0.031668764,0.031555794,0.031752,0.031935766,0.031708244,0.031355355,0.031229064,0.03094705,0.030653484,Highlands Ranch,39.567887,-104.957193
53,2023-05-05 04:00:00+00:00,0.037365876,0.037,0.038699597,0.037794404,0.036161188,0.034769177,0.032706466,0.03252834,0.03293169,0.031999223,0.03138056,0.030803274,0.030343242,0.030032096,0.029882103,0.029766422,0.029710619,0.029808592,0.029695503,0.02988784,0.0300616,0.02984747,0.029510792,0.029389895,0.029123047,Highlands Ranch,39.567887,-104.957193
54,2023-05-05 05:00:00+00:00,0.03483203,0.033,0.03517951,0.03627521,0.03555714,0.03419945,0.033021905,0.03126915,0.031116026,0.031466264,0.03064909,0.030100157,0.029577814,0.029160835,0.028876886,0.028740285,0.02863429,0.02858267,0.028674752,0.028567843,0.028748905,0.02890899,0.028712701,0.02840343,0.028293854,Highlands Ranch,39.567887,-104.957193
